President,Last Name,start_year,Party
George Washington,Washington,1789,Federalist
John Adams,AdamsJ,1797,Federalist
Thomas Jefferson,Jefferson,1801,Democratic-Republican
James Madison,Madison,1809,Democratic-Republican
James Monroe,Monroe,1817,Democratic-Republican
John Quincy Adams,AdamsJQuincy,1825,Democratic-Republican
Andrew Jackson,Jackson,1829,Democrat
Martin Van Buren,Buren,1837,Democrat
William H. Harrison,Harrison,1841,Whig
James K. Polk,Polk,1841,Whig
John Tyler,Tyler,1841,Democrat
Zachary Taylor,Taylor,1849,Whig
Millard Fillmore,Fillmore,1850,Whig
Franklin Pierce,Pierce,1853,Democrat
James Buchanan,Buchanan,1857,Democrat
Abraham Lincoln,Lincoln,1861,Republican
Andrew Johnson,JohnsonA,1865,National Union
Ulysses S. Grant,Grant,1869,Republican
Rutherford B. Hayes,Hayes,1877,Republican
Chester A. Arthur,Arthur,1881,Republican
James A. Garfield,Garfield,1881,Republican
Grover Cleveland,Cleveland,1885,Democrat
Benjamin Harrison,HarrisonBenjamin,1889,Republican
Grover Cleveland,Cleveland,1893,Democrat
William McKinley,McKinley,1897,Republican
Theodore Roosevelt,RooseveltT,1901,Republican
William H. Taft,Taft,1909,Republican
Woodrow Wilson,Wilson,1913,Democrat
Warren G. Harding,Harding,1921,Republican
Calvin Coolidge,Coolidge,1923,Republican
Herbert Hoover,Hoover,1929,Republican
Franklin D. Roosevelt,RooseveltFD,1933,Democrat
Harry S. Truman,Truman,1945,Democrat
Dwight D. Eisenhower,Eisenhower,1953,Republican
John F. Kennedy,Kennedy,1961,Democrat
Lyndon B. Johnson,JohnsonL,1963,Democrat
Richard M. Nixon,Nixon,1969,Republican
Gerald R. Ford,Ford,1974,Republican
Jimmy Carter,Carter,1977,Democrat
Ronald Reagan,Reagan,1981,Republican
George H. W. Bush,BushGHW,1989,Republican
Bill Clinton,Clinton,1993,Democrat
George W. Bush,BushW,2001,Republican
Barack Hussein Obama,Obama,2009,Democrat
Donald J. Trump,Trump,2017,Republican
