"","year","month","day","daily_sales","active_promotions","outlier","rolling_mean"
"1",2013,10,1,5772343,0,"0",5388.97648438309
"2",2013,10,2,6244264,0,"0",5388.97648438309
"3",2013,10,3,198269,0,"0",5388.97648438309
"4",2013,10,4,5889483,0,"0",5388.97648438309
"5",2013,10,5,6002619,0,"0",5388.97648438309
"6",2013,10,7,8177811,818,"0",5388.97648438309
"7",2013,10,8,6582369,818,"0",5388.97648438309
"8",2013,10,9,5928773,818,"0",5388.97648438309
"9",2013,10,10,5629183,806,"0",5388.97648438309
"10",2013,10,11,5934213,818,"0",5388.97648438309
"11",2013,10,12,6079235,0,"0",5388.97648438309
"12",2013,10,14,4960857,0,"0",5388.97648438309
"13",2013,10,15,4432060,0,"0",5388.97648438309
"14",2013,10,16,4519322,0,"0",5388.97648438309
"15",2013,10,17,4477481,0,"0",5388.97648438309
"16",2013,10,18,4797336,0,"0",5388.97648438309
"17",2013,10,19,5299749,0,"0",5388.97648438309
"18",2013,10,21,4667019,550,"0",5388.97648438309
"19",2013,10,22,3851096,550,"0",5388.97648438309
"20",2013,10,23,3654312,550,"0",5388.97648438309
"21",2013,10,24,3592898,550,"0",5388.97648438309
"22",2013,10,25,3793343,550,"0",5388.97648438309
"23",2013,10,26,5744750,0,"0",5388.97648438309
"24",2013,10,28,2424067,0,"0",5388.97648438309
"25",2013,10,29,2609175,0,"0",5388.97648438309
"26",2013,10,30,2933317,0,"0",5388.97648438309
"27",2013,10,31,3320225,0,"0",5388.97648438309
"28",2013,11,1,3028591,0,"0",5420.06961789233
"29",2013,11,2,7410509,0,"0",5420.06961789233
"30",2013,11,4,10568398,1115,"0",5420.06961789233
"31",2013,11,5,9306571,1115,"0",5420.06961789233
"32",2013,11,6,8224747,1115,"0",5420.06961789233
"33",2013,11,7,7951819,1115,"0",5420.06961789233
"34",2013,11,8,8443830,1115,"0",5420.06961789233
"35",2013,11,9,6566741,0,"0",5420.06961789233
"36",2013,11,11,6423778,0,"0",5420.06961789233
"37",2013,11,12,6003149,0,"0",5420.06961789233
"38",2013,11,13,6028677,0,"0",5420.06961789233
"39",2013,11,14,6140303,0,"0",5420.06961789233
"40",2013,11,15,6741987,0,"0",5420.06961789233
"41",2013,11,16,6605960,0,"0",5420.06961789233
"42",2013,11,18,10528615,1115,"0",5420.06961789233
"43",2013,11,19,8895888,1115,"0",5420.06961789233
"44",2013,11,20,7472513,1040,"0",5420.06961789233
"45",2013,11,21,8084449,1115,"0",5420.06961789233
"46",2013,11,22,8199106,1115,"0",5420.06961789233
"47",2013,11,23,6593077,0,"0",5420.06961789233
"48",2013,11,25,7204808,0,"0",5420.06961789233
"49",2013,11,26,6673704,0,"0",5420.06961789233
"50",2013,11,27,6725418,0,"0",5420.06961789233
"51",2013,11,28,7262197,0,"0",5420.06961789233
"52",2013,11,29,8803269,0,"0",5420.06961789233
